Model Type,Lambda,Ticker,Mean (bps),Median (bps),Std (bps),P(win),GLR
Original (lambda=0),0.0,JNJ,92.06,121.61,199.47,0.6667,1.3663
Original (lambda=0),0.0,UNH,237.65,269.34,223.86,0.7778,2.294
Original (lambda=0),0.0,LLY,-176.08,-157.38,165.11,0.0,
Original (lambda=0),0.0,MDT,84.56,92.12,294.73,0.7778,0.5393
Original (lambda=0),0.0,NVO,-71.59,-139.69,250.76,0.375,0.8543
Original (lambda=0),0.0,PFE,-155.25,-155.25,0.0,0.0,
Original (lambda=0),0.0,ABT,-64.65,33.63,224.37,0.5455,0.4249
Original (lambda=0),0.0,ABBV,-137.7,-253.41,287.97,0.2727,1.0167
Original (lambda=0),0.0,DGX,-70.57,-98.1,258.67,0.4167,0.777
Risk-Averse (lambda=0.0005),0.0005,JNJ,157.65,150.85,115.97,0.9091,2.43
Risk-Averse (lambda=0.0005),0.0005,UNH,56.77,-36.24,250.31,0.4444,2.2725
Risk-Averse (lambda=0.0005),0.0005,LLY,-201.67,-239.82,249.3,0.0909,1.8249
Risk-Averse (lambda=0.0005),0.0005,MDT,208.92,269.96,86.33,1.0,inf
Risk-Averse (lambda=0.0005),0.0005,NVO,1.33,74.97,303.18,0.5333,0.8833
Risk-Averse (lambda=0.0005),0.0005,PFE,71.23,56.66,233.61,0.875,0.333
Risk-Averse (lambda=0.0005),0.0005,ABT,-110.06,-78.05,186.3,0.1667,1.2258
Risk-Averse (lambda=0.0005),0.0005,ABBV,-139.02,-229.02,331.76,0.3333,0.7961
Risk-Averse (lambda=0.0005),0.0005,DGX,28.19,34.74,284.86,0.5,1.2685
Risk-Averse (lambda=0.001),0.001,JNJ,-234.54,-298.0,268.2,0.125,1.0079
Risk-Averse (lambda=0.001),0.001,UNH,3.11,133.49,367.14,0.6667,0.5096
Risk-Averse (lambda=0.001),0.001,LLY,-111.11,-111.11,0.0,0.0,
Risk-Averse (lambda=0.001),0.001,MDT,-145.08,-155.21,217.31,0.25,0.6282
Risk-Averse (lambda=0.001),0.001,NVO,107.55,189.01,200.42,0.6667,1.5233
Risk-Averse (lambda=0.001),0.001,PFE,-203.6,-191.97,96.45,0.0,
Risk-Averse (lambda=0.001),0.001,ABT,158.32,356.04,278.05,0.6667,1.6001
Risk-Averse (lambda=0.001),0.001,ABBV,-162.67,-211.43,234.31,0.1111,1.9865
Risk-Averse (lambda=0.001),0.001,DGX,-110.94,-136.34,282.94,0.2,1.5964
Risk-Averse (lambda=0.005),0.005,JNJ,315.61,315.61,78.44,1.0,inf
Risk-Averse (lambda=0.005),0.005,UNH,22.53,2.2,277.1,0.5833,0.8849
Risk-Averse (lambda=0.005),0.005,LLY,-47.95,87.7,191.83,0.6667,0.2747
Risk-Averse (lambda=0.005),0.005,MDT,,,,,inf
Risk-Averse (lambda=0.005),0.005,NVO,-169.43,-117.08,211.45,0.3333,0.2092
Risk-Averse (lambda=0.005),0.005,PFE,-20.24,-0.12,228.16,0.4,1.2107
Risk-Averse (lambda=0.005),0.005,ABT,44.63,102.41,100.07,0.75,0.7957
Risk-Averse (lambda=0.005),0.005,ABBV,-171.03,-168.87,160.53,0.1,0.9223
Risk-Averse (lambda=0.005),0.005,DGX,-275.95,-258.7,167.86,0.0,
Risk-Averse (lambda=0.01),0.01,JNJ,283.52,283.52,0.0,1.0,inf
Risk-Averse (lambda=0.01),0.01,UNH,27.48,79.9,141.8,0.7143,0.6089
Risk-Averse (lambda=0.01),0.01,LLY,249.93,254.16,5.97,1.0,inf
Risk-Averse (lambda=0.01),0.01,MDT,135.11,230.56,141.72,0.7,3.0014
Risk-Averse (lambda=0.01),0.01,NVO,2.4,20.67,156.06,0.5,1.0317
Risk-Averse (lambda=0.01),0.01,PFE,-25.89,-64.56,239.2,0.3333,1.5611
Risk-Averse (lambda=0.01),0.01,ABT,-359.61,-359.61,0.0,0.0,
Risk-Averse (lambda=0.01),0.01,ABBV,-0.28,46.98,207.62,0.6667,0.4983
Risk-Averse (lambda=0.01),0.01,DGX,,,,,inf
